@RELATION bites

@ATTRIBUTE xStandardDev NUMERIC
@ATTRIBUTE yStandardDev NUMERIC
@ATTRIBUTE zStandardDev NUMERIC
@ATTRIBUTE xMean NUMERIC
@ATTRIBUTE yMean NUMERIC
@ATTRIBUTE zMean NUMERIC
@ATTRIBUTE xJerkMean NUMERIC
@ATTRIBUTE yJerkMean NUMERIC
@ATTRIBUTE zJerkMean NUMERIC
@ATTRIBUTE class {Bite, Non-Bite}

@DATA
1.7519716961982434,1.5580932995575538,1.5705986644631682,4.4778514561199,5.152382952826364,6.884761492411296,9.428914034706593E-4,-7.779991801062603E-4,-8.004128558930427E-4,Non-Bite
1.0376219605393726,0.7500100596093074,1.0468626175425784,3.211677944660187,7.16430287361145,5.896248531341553,0.0013099173478134955,-8.523945091896523E-4,-0.0011297683702193612,Non-Bite
0.4599459723785181,0.3264624753001648,0.6852334875406506,2.0845942229032515,8.662541103363036,4.215497630834579,-5.253801062202126E-4,-4.3488384742726817E-4,0.0020262795439216436,Non-Bite
0.2617411309480215,0.21280468068866787,0.3151396496130992,5.324193930625915,8.012850594520568,2.405353420972824,-5.283290476861538E-4,2.188384323865774E-4,4.6304783181383804E-4,Non-Bite
0.4130554393834172,0.13442799790403512,0.6952383694694667,1.9919758558273315,8.366979551315307,4.630918192863464,-7.281203051514837E-4,-2.2462177621286679E-4,0.0013661069920353657,Non-Bite
1.2626848804974191,1.0414576867979495,1.172514155394373,-5.254730141162872,5.612264227867127,5.539395403862,-0.003266480509608352,0.0015333841839331127,-0.0024996988334580112,Non-Bite
0.234447105358127,0.572555012071535,0.19513138865962945,-0.8410564735531807,-0.37115447213873265,9.846830320358276,-3.531283397768365E-4,-6.190614106426132E-4,2.2152696305174335E-4,Non-Bite
0.7508197294934159,3.2165918264523734,1.8281181004410274,-1.0010955465957523,2.8834276244044306,8.876380586624146,0.001335816963931721,0.003462058434972782,-0.0034727774232166846,Non-Bite
2.337972499189867,2.616641638927789,3.082379704426523,1.759619220292994,6.8970847470419745,5.708222854616387,6.502751347357676E-4,-0.0014769413924872517,0.004940022708650409,Non-Bite
0.656291633506056,2.2259368249695046,0.9736450650963081,2.626003068685532,8.843010663986206,3.3376662015914915,8.072518873231407E-4,0.004270187125682789,0.0023567039206060457,Non-Bite
